mlsno,area,soldprice,solddate,type,style,bdrm,wshrm,latitude,longitude,house_condo,maint,aptno,address
W3304132,Meadowvale Village,600000,2015-09-05,Detached,2-Storey,3,4,43.62245,-79.7489499,house,,,"1586 Samuelson Circ, Mississauga"
W3246525,Meadowvale,360000,2015-09-04,Condo Townhouse,2-Storey,3,2,43.5750694,-79.7419586,condo,173.67,10,"2755 Windwood Dr, Mississauga"
W3261060,Churchill Meadows,295000,2015-09-04,Condo Apt,Stacked Townhse,2,2,43.5359612,-79.7333679,condo,187.13,12,"5035 Ninth Line, Mississauga"
W3280089,Churchill Meadows,567000,2015-09-04,Semi-Detached,2-Storey,3,3,43.5624899,-79.7381,house,,,"3041 Bentley Drive Dr, Mississauga"
W3280920,Cooksville,683000,2015-09-04,Semi-Detached,2-Storey,4,4,43.57667,-79.63042,house,,,"3289 High Springs Cres, Mississauga"
W3290391,Hurontario,220000,2015-09-04,Condo Apt,Apartment,1,1,43.6106866,-79.6601088,condo,357.34,1209,"55 Strathaven Dr, Mississauga"
W3291771,Churchill Meadows,635000,2015-09-04,Semi-Detached,2-Storey,4,4,43.55263901,-79.73728943,house,,,"3330 Sunlight St, Mississauga"
W3293323,Malton,152000,2015-09-04,Condo Apt,Apartment,2,1,43.7151,-79.63093,condo,526,1006,"3555 Derry Rd, Mississauga"
W3302133,East Credit,823200,2015-09-04,Detached,2-Storey,4,4,43.6014399,-79.68779,house,,,"877 Preston Manor Dr, Mississauga"
W3304382,City Centre,306000,2015-09-04,Condo Apt,Apartment,2,2,43.5862,-79.64295,condo,514,909,"330 Burnhamthorpe Rd, Mississauga"
W3241660,Malton,403000,2015-09-03,Semi-Detached,Backsplit 4,4,3,43.71867,-79.63094,house,,,"7100 Darcel Ave, Mississauga"
W3258555,Central Erin Mills,227000,2015-09-03,Condo Apt,Apartment,1,1,43.5534477,-79.7110825,condo,356.23,105,"4850 Glen Erin Dr, Mississauga"
W3264226,Malton,425000,2015-09-03,Detached,Backsplit 3,3,2,43.70185,-79.64839,house,,,"24 Burlington St, Mississauga"
W3268931,City Centre,250000,2015-09-03,Condo Townhouse,Apartment,1,1,43.5904503,-79.6328278,condo,313.58,2503,"33 Elm Dr, Mississauga"
W3269332,Malton,437000,2015-09-03,Semi-Detached,2-Storey,4,3,43.73386,-79.6369019,house,,,"7578 Wildfern Dr, Mississauga"
W3270962,Erin Mills,1390000,2015-09-03,Detached,2-Storey,4,5,43.5504913,-79.673172,house,,,"1821 Pine Siskin Crt, Mississauga"
W3271129,City Centre,258000,2015-09-03,Condo Apt,Apartment,1,2,43.58778,-79.6458511,condo,502.54,1703,"4090 Living Arts Dr, Mississauga"
W3273459,Erin Mills,575000,2015-09-03,Semi-Detached,Backsplit 5,4,3,43.5325203,-79.6894073,house,,,"2614 Windjammer Rd, Mississauga"
W3276412,Cooksville,246000,2015-09-03,Condo Apt,Apartment,2,2,43.58083,-79.62373,condo,705.32,1104,"115 Hillcrest Ave, Mississauga"
W3277846,City Centre,287500,2015-09-03,Condo Apt,Apartment,1,2,43.58762,-79.6456199,condo,512,2504,"4080 Living Arts Dr, Mississauga"
W3281325,Hurontario,495000,2015-09-03,Condo Apt,Apartment,2,2,43.6031801,-79.6499099,condo,920.28,2706,"35 Kingsbridge Garden Circle, Mississauga"
W3282055,Malton,455000,2015-09-03,Semi-Detached,Bungalow-Raised,3,2,43.71749115,-79.65363312,house,,,"3121 Mallbridge Cres, Mississauga"
W3284247,Meadowvale,350000,2015-09-03,Condo Townhouse,3-Storey,3,2,43.58526,-79.76308,condo,405.17,75,"6780 Formentera Ave, Mississauga"
W3284035,Mississauga Valleys,507500,2015-09-03,Semi-Detached,Backsplit 3,3,2,43.59704,-79.60843,house,,,"3222 Candela Dr, Mississauga"
W3284613,Applewood,885000,2015-09-03,Detached,Bungalow,3,3,43.61067,-79.60569,house,,,"3480 Wagondust Rd, Mississauga"
W3288947,Churchill Meadows,705000,2015-09-03,Detached,2-Storey,3,3,43.54611,-79.74163,house,,,"5458 Tasha Dr, Mississauga"
W3293058,Malton,556600,2015-09-03,Detached,2-Storey,4,3,43.71727,-79.65848,house,,,"3034 Cowie Crt, Mississauga"
W3291476,Central Erin Mills,318000,2015-09-03,Condo Apt,Apartment,2,2,43.5516099,-79.71356,condo,547,908,"4879 Kimbermount Ave, Mississauga"
W3291439,Streetsville,965000,2015-09-03,Detached,2-Storey,5,3,43.57338,-79.69944,house,,,"1870 Sara St, Mississauga"
W3293146,Lisgar,605000,2015-09-03,Detached,2-Storey,4,3,43.56979,-79.7611,house,,,"6388 Longspur Rd, Mississauga"
W3295012,Lisgar,490000,2015-09-03,Semi-Detached,2-Storey,3,4,43.56205,-79.76886,house,,,"3982 Bentridge Rd, Mississauga"
W3294843,Cooksville,1065000,2015-09-03,Detached,Backsplit 5,4,3,43.56145,-79.61107,house,,,"2077 Dickson Rd, Mississauga"
W3294446,Central Erin Mills,404000,2015-09-03,Condo Townhouse,2-Storey,3,3,43.569145,-79.740915,condo,185.36,42,"5958 Greensboro Dr, Mississauga"
